DUID,STATIONID,STATIONNAME,REGIONID,REGISTEREDCAPACITY,CO2E_ENERGY_SOURCE,SCHEDULE_TYPE,NTNDP_HEAT_RATE_ID,COMMENT
MINTNL1,MINTARO,Mintaro Gas Turbine Station,SA1,25,Natural Gas (Pipeline),NON-SCHEDULED,,
MLSP1,MLSP,Mugga Lane Solar Park,NSW1,12,Solar,NON-SCHEDULED,Nyngan,Assume Mugga Lane Solar Park and Nyngan Solar Plant have similar heat rates
MLWF1,MLWF,Mortons Lane Wind Farm,VIC1,20,Wind,NON-SCHEDULED,CHALLHWF,Assume Mortons Lane Wind Farm and Challicum Hills Wind Farm have similar heat rates
MORANBAH,MORANBAH,Moranbah Generation Project,QLD1,13,Coal seam methane,NON-SCHEDULED,,
MOREESF1,MOREESF,MOREE SOLAR FARM,NSW1,57,Solar,SEMI-SCHEDULED,Moree Solar,
MORNW,MORNW,Mornington Waste Disposal Facility,VIC1,1,Landfill biogas methane,NON-SCHEDULED,,
MORTLK11,MORTLK,Mortlake Power Station,VIC1,283,Natural Gas (Pipeline),SCHEDULED,MORTLK11,
MORTLK12,MORTLK,Mortlake Power Station,VIC1,283,Natural Gas (Pipeline),SCHEDULED,MORTLK12,
MP1,MP,MT PIPER POWER STATION,NSW1,700,Black coal,SCHEDULED,MP1,
MP2,MP,MT PIPER POWER STATION,NSW1,700,Black coal,SCHEDULED,MP2,
MPNL1,MP,MT PIPER POWER STATION,NSW1,25,Black coal,NON-SCHEDULED,,
MPP_1,MILLMERN,Millmerran Power Plant,QLD1,426,Black coal,SCHEDULED,MPP_1,
MPP_2,MILLMERN,Millmerran Power Plant,QLD1,426,Black coal,SCHEDULED,MPP_2,
MSTUART1,MSTUART,Mt Stuart Power Station,QLD1,144,Kerosene - non aviation,SCHEDULED,MSTUART1,
MSTUART2,MSTUART,Mt Stuart Power Station,QLD1,144,Kerosene - non aviation,SCHEDULED,MSTUART2,
MSTUART3,MSTUART,Mt Stuart Power Station,QLD1,131,Kerosene - non aviation,SCHEDULED,MSTUART3,
MTMILLAR,MTMILLAR,Mt Millar Wind Farm,SA1,70,Wind,NON-SCHEDULED,MTMILLAR,
MURAYNL1,MURRAY,Murray Power Station,VIC1,25,Hydro,NON-SCHEDULED,,
MURAYNL2,MURRAY,Murray Power Station,VIC1,25,Hydro,NON-SCHEDULED,,
MURAYNL3,MURRAY,Murray Power Station,VIC1,25,Hydro,NON-SCHEDULED,,
MURR1-1,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,,
MURR1-10,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,,
MURR1-2,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,,
MURR1-3,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,,
MURR1-4,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,,
MURR1-5,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,,
MURR1-6,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,,
MURR1-7,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,,
MURR1-8,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,,
MURR1-9,MURRAY1,MURRAY1,VIC1,95,,NON-SCHEDULED,,
MURR2-1,MURRAY2,MURRAY2,VIC1,137.5,,NON-SCHEDULED,,
MURR2-2,MURRAY2,MURRAY2,VIC1,137.5,,NON-SCHEDULED,,
MURR2-3,MURRAY2,MURRAY2,VIC1,137.5,,NON-SCHEDULED,,
MURR2-4,MURRAY2,MURRAY2,VIC1,137.5,,NON-SCHEDULED,,
MURRAY,MURRAY,Murray Power Station,VIC1,1500,Hydro,SCHEDULED,,
MUSSELR1,MUSSELRO,Musselroe Wind Farm,TAS1,168,Wind,SEMI-SCHEDULED,MUSSELR1,
NBHWF1,NBHWF,North Brown Hill Wind Farm,SA1,132,Wind,SEMI-SCHEDULED,NBHWF1,
NINEWIL1,NINEWIL,Nine Network Willoughby Plant,NSW1,3,Diesel oil,NON-SCHEDULED,,
NPS,NEWPORT,NEWPORT POWER STATION,VIC1,500,Natural Gas (Pipeline),SCHEDULED,NPS,
NYNGAN1,NYNGAN,Nyngan Solar Plant,NSW1,102,Solar,SEMI-SCHEDULED,Nyngan,
OAKEY1,OAKEY,OAKEY POWER STATION,QLD1,141,Natural Gas (Pipeline),SCHEDULED,OAKEY1,
OAKEY2,OAKEY,OAKEY POWER STATION,QLD1,141,Natural Gas (Pipeline),SCHEDULED,OAKEY2,
OAKLAND1,OAKLAND,Oaklands Hill Wind Farm,VIC1,67,Wind,SEMI-SCHEDULED,OAKLAND1,
OAKY2,OAKY2,Oaky Creek 2,QLD1,15,Coal mine waste gas,NON-SCHEDULED,,
OAKYCREK,OCPS,Oaky Creek Power Station,QLD1,20,Natural Gas (Pipeline),NON-SCHEDULED,,
OSB-AG,OSBORNE,OSBORNE POWER STATION,SA1,180,Natural Gas (Pipeline),SCHEDULED,OsborneGT,
PALOONA,PALOONA,Paloona Power Station,TAS1,28,Hydro,NON-SCHEDULED,,
PEDLER1,PEDLER,Pedler Creek Landfill Gas Power Station Units 1-3,SA1,3,,NON-SCHEDULED,,
PINDARI,PINDARI,Pindari Hydro Power Station,NSW1,6,Hydro,NON-SCHEDULED,,
