C,SETP.WORLD,CO2EII_AVAILABLE_GENERATORS,AEMO,PUBLIC,2017/11/03,10:48:27,0000000288829320,,0000000288829319
D,CO2EII,PUBLISHING,1,"Callide Power Station",CALL_B_2,CALL_B_2,QLD1,1.015160,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"CALLIDE C NETT OFF",CPP_3,CPP_3,QLD1,0.961320,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"CALLIDE C NETT OFF",CPP_4,CPP_4,QLD1,0.961320,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Condamine Power Station A",CPSA,CPSA1,QLD1,0.5264,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Condamine Power Station A",CPSA,CPSA2,QLD1,0.5264,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Condamine Power Station A",CPSA,CPSA3,QLD1,0.5264,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Daandine Power Station",DAANDINE,DAANDINE,QLD1,0.6410,"Coal seam methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Darling Downs Power Station",DDPS1,DDPS0,QLD1,0.506240,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Darling Downs Power Station",DDPS1,DDPS1,QLD1,0.506240,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Darling Downs Power Station",DDPS1,DDPS2,QLD1,0.506240,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Darling Downs Power Station",DDPS1,DDPS3,QLD1,0.506240,"Natural Gas (Pipeline)","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"Roghan Road LFG Power Plant",EDLRGNRD,EDLRGNRD,QLD1,0.06,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"German Creek Power Station",GERMCRK,GERMCRK,QLD1,0.06,"Landfill biogas methane","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"GLADSTONE POWER STATION",GLADNL1,GLADNL1,QLD1,1.1780,"Black coal","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Grosvenor 1 Waste Coal Mine Gas Power Station",GROSV1,GROSV1,QLD1,0.6960,"Coal mine waste gas","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"Grosvenor 2",GROSV2,GROSV2,QLD1,0.5980,"Coal mine waste gas","Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"GLADSTONE POWER STATION",GSTONE1,GSTONE1,QLD1,1.0495,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"GLADSTONE POWER STATION",GSTONE2,GSTONE2,QLD1,1.0495,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"GLADSTONE POWER STATION",GSTONE3,GSTONE3,QLD1,1.0495,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"GLADSTONE POWER STATION",GSTONE4,GSTONE4,QLD1,1.0495,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"GLADSTONE POWER STATION",GSTONE5,GSTONE5,QLD1,1.0495,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"GLADSTONE POWER STATION",GSTONE6,GSTONE6,QLD1,1.0495,"Black coal","NTNDP 2016"
D,CO2EII,PUBLISHING,1,"ISIS Central Sugar Mill Co-generation Plant",ICSM,ICSM,QLD1,0.0170,Bagasse,"Estimate - NGA 2016"
D,CO2EII,PUBLISHING,1,"KAREEYA POWER STATION",KAREEYA1,KAREEYA1,QLD1,0,Hydro,"NTNDP 2014"
D,CO2EII,PUBLISHING,1,"KAREEYA POWER STATION",KAREEYA2,KAREEYA2,QLD1,0,Hydro,"NTNDP 2014"
