C,SETP.WORLD,DVD_DUDETAILSUMMARY,AEMO,PUBLIC,2017/07/08,00:25:02,0000000285202742,,0000000285202674
I,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,DUID,START_DATE,END_DATE,DISPATCHTYPE,CONNECTIONPOINTID,REGIONID,STATIONID,PARTICIPANTID,LASTCHANGED,TRANSMISSIONLOSSFACTOR,STARTTYPE,DISTRIBUTIONLOSSFACTOR,MINIMUM_ENERGY_PRICE,MAXIMUM_ENERGY_PRICE,SCHEDULE_TYPE,MIN_RAMP_RATE_UP,MIN_RAMP_RATE_DOWN,MAX_RAMP_RATE_UP,MAX_RAMP_RATE_DOWN,IS_AGGREGATED
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2011/07/01 00:00:00","2012/07/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2016/06/21 13:42:04",0.9939,FAST,0.9921,-986.05,12325.61,SCHEDULED,4,4,30,30,1
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2012/07/01 00:00:00","2013/07/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2016/06/21 13:42:04",0.9960,FAST,0.9923,-988.34,12749.47,SCHEDULED,4,4,30,30,1
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2013/07/01 00:00:00","2014/07/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2016/06/21 13:42:04",0.9954,FAST,0.9874,-982.86,12875.44,SCHEDULED,4,4,30,30,1
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2014/07/01 00:00:00","2015/07/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2016/06/21 13:42:04",0.9927,FAST,0.99,-982.78,13267.44,SCHEDULED,4,4,30,30,1
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2015/07/01 00:00:00","2016/07/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2016/06/24 12:41:01",0.9946,FAST,0.9899,-984.56,13586.86,SCHEDULED,4,4,30,30,1
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2016/07/01 00:00:00","2017/07/01 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2017/06/26 10:54:12",0.9949,FAST,0.9888,-983.76,13772.60,SCHEDULED,4,4,30,30,1
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AGLSOM,"2017/07/01 00:00:00","2999/12/31 00:00:00",GENERATOR,VTTS1,VIC1,AGLSOM,SOUTHHYD,"2017/06/26 10:54:12",0.9968,FAST,0.9851,-981.95,13943.66,SCHEDULED,4,4,30,30,1
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AMCORGR,"2009/02/13 00:00:00","2009/07/01 00:00:00",GENERATOR,SRSW1E,SA1,AMCORGR,RESPONSE,"2016/06/21 13:42:04",1.0129,"NOT DISPATCHED",1,-1012.90,10129,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AMCORGR,"2009/07/01 00:00:00","2010/01/28 00:00:00",GENERATOR,SRSW1E,SA1,AMCORGR,RESPONSE,"2016/06/21 13:42:04",1.0152,"NOT DISPATCHED",1,-1015.20,10152,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AMCORGR,"2010/01/28 00:00:00","2010/07/01 00:00:00",GENERATOR,SRSW1E,SA1,AMCORGR,RESPONSE,"2016/06/21 13:42:04",1.0152,"NOT DISPATCHED",1,-1015.20,10152,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AMCORGR,"2010/07/01 00:00:00","2011/07/01 00:00:00",GENERATOR,SRSW1E,SA1,AMCORGR,RESPONSE,"2016/06/21 13:42:04",1.0140,"NOT DISPATCHED",1,-1014,12675,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AMCORGR,"2011/07/01 00:00:00","2012/07/01 00:00:00",GENERATOR,SRSW1E,SA1,AMCORGR,RESPONSE,"2016/06/21 13:42:04",1.0073,"NOT DISPATCHED",1,-1007.30,12591.25,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AMCORGR,"2012/07/01 00:00:00","2013/07/01 00:00:00",GENERATOR,SRSW1E,SA1,AMCORGR,RESPONSE,"2016/06/21 13:42:04",1.0083,"NOT DISPATCHED",1,-1008.30,13007.07,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AMCORGR,"2013/07/01 00:00:00","2014/07/01 00:00:00",GENERATOR,SRSW1E,SA1,AMCORGR,RESPONSE,"2016/06/21 13:42:04",1.0091,"NOT DISPATCHED",1,-1009.10,13219.21,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AMCORGR,"2014/07/01 00:00:00","2015/07/01 00:00:00",GENERATOR,SRSW1E,SA1,AMCORGR,RESPONSE,"2016/06/21 13:42:04",1.0092,"NOT DISPATCHED",1.0033,-1012.54,13669.16,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,AMCORGR,"2015/07/01 00:00:00","2015/12/31 00:00:00",GENERATOR,SRSW1E,SA1,AMCORGR,RESPONSE,"2015/12/30 14:02:36",1.0111,"NOT DISPATCHED",1.0033,-1014.44,13999.23,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,ANGAS1,"2004/12/22 00:00:00","2004/12/30 00:00:00",GENERATOR,SDRN1,SA1,ANGASTON,CUMMINS,"2016/06/21 13:42:04",1.0161,FAST,1,-1016.10,10161,NON-SCHEDULED,0,0,,,
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,ANGAS1,"2004/12/30 00:00:00","2005/02/23 00:00:00",GENERATOR,SDRN1,SA1,ANGASTON,CUMMINS,"2016/06/21 13:42:04",1.0161,FAST,1,-1016.10,10161,SCHEDULED,1,1,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,ANGAS1,"2005/02/23 00:00:00","2005/07/01 00:00:00",GENERATOR,SDRN1,SA1,ANGASTON,CUMMINS,"2016/06/21 13:42:04",1.0161,SLOW,1,-1016.10,10161,SCHEDULED,1,1,,,0
D,PARTICIPANT_REGISTRATION,DUDETAILSUMMARY,4,ANGAS1,"2005/07/01 00:00:00","2006/03/23 00:00:00",GENERATOR,SDRN1,SA1,ANGASTON,CUMMINS,"2016/06/21 13:42:04",1.0126,SLOW,1,-1012.60,10126,SCHEDULED,1,1,,,0
