C,SETP.WORLD,DVD_TRADINGINTERCONNECT,AEMO,PUBLIC,2017/07/08,02:20:00,0000000285202926,,0000000285202674
I,TRADING,INTERCONNECTORRES,2,SETTLEMENTDATE,RUNNO,INTERCONNECTORID,PERIODID,METEREDMWFLOW,MWFLOW,MWLOSSES,LASTCHANGED
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 12:30:00",1,V-S-MNSP1,25,-0.44,0,0,"2017/06/01 12:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 12:30:00",1,V-SA,25,176.66,168.83,5.57,"2017/06/01 12:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 12:30:00",1,VIC1-NSW1,25,-300.49,-285.56,17.24,"2017/06/01 12:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 13:00:00",1,N-Q-MNSP1,26,-118.28,-119.67,2.88,"2017/06/01 12:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 13:00:00",1,NSW1-QLD1,26,-902.26,-902.77,51.71,"2017/06/01 12:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 13:00:00",1,T-V-MNSP1,26,151.27,143.9,1.59,"2017/06/01 12:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 13:00:00",1,V-S-MNSP1,26,-3.08,-3,-0.11,"2017/06/01 12:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 13:00:00",1,V-SA,26,146.8,130.9,3.41,"2017/06/01 12:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 13:00:00",1,VIC1-NSW1,26,-284.3,-234.36,12.61,"2017/06/01 12:55:03"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 13:30:00",1,N-Q-MNSP1,27,-115.88,-114.33,2.11,"2017/06/01 13:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 13:30:00",1,NSW1-QLD1,27,-868.6,-855.54,44.05,"2017/06/01 13:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 13:30:00",1,T-V-MNSP1,27,147.78,146.08,1.66,"2017/06/01 13:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 13:30:00",1,V-S-MNSP1,27,9.53,10.66,0.78,"2017/06/01 13:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 13:30:00",1,V-SA,27,276.01,240.23,12.21,"2017/06/01 13:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 13:30:00",1,VIC1-NSW1,27,-284.22,-235.98,13.08,"2017/06/01 13:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 14:00:00",1,N-Q-MNSP1,28,-113.1,-113.04,1.93,"2017/06/01 13:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 14:00:00",1,NSW1-QLD1,28,-829.1,-860.05,43.6,"2017/06/01 13:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 14:00:00",1,T-V-MNSP1,28,158.07,160.21,2.06,"2017/06/01 13:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 14:00:00",1,V-S-MNSP1,28,20.31,22.02,1.8,"2017/06/01 13:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 14:00:00",1,V-SA,28,322.34,322.49,20.87,"2017/06/01 13:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 14:00:00",1,VIC1-NSW1,28,-215.5,-238.8,13.38,"2017/06/01 13:55:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 14:30:00",1,N-Q-MNSP1,29,-112.47,-111.67,1.75,"2017/06/01 14:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 14:30:00",1,NSW1-QLD1,29,-815.74,-838.66,39.4,"2017/06/01 14:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 14:30:00",1,T-V-MNSP1,29,152.17,154.28,1.88,"2017/06/01 14:25:04"
D,TRADING,INTERCONNECTORRES,2,"2017/06/01 14:30:00",1,V-S-MNSP1,29,26.42,24.11,2.03,"2017/06/01 14:25:04"
