C,SETP.WORLD,DVD_DUDETAIL,AEMO,PUBLIC,2017/07/08,00:25:02,0000000285202740,,0000000285202674
I,PARTICIPANT_REGISTRATION,DUDETAIL,3,EFFECTIVEDATE,DUID,VERSIONNO,CONNECTIONPOINTID,VOLTLEVEL,REGISTEREDCAPACITY,AGCCAPABILITY,DISPATCHTYPE,MAXCAPACITY,STARTTYPE,NORMALLYONFLAG,PHYSICALDETAILSFLAG,SPINNINGRESERVEFLAG,AUTHORISEDBY,AUTHORISEDDATE,LASTCHANGED,INTERMITTENTFLAG,SEMISCHEDULE_FLAG,MAXRATEOFCHANGEUP,MAXRATEOFCHANGEDOWN
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",KEEPIT,2,NKPT,275,6,Y,GENERATOR,8,"NOT DISPATCHED",,,Y,BATCH,"1998/11/02 12:11:55","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",KKGTS,2,NKLK,132,96,N,GENERATOR,100,FAST,,,Y,BATCH,"1998/11/02 12:11:55","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",NGTS,2,NNGT,132,100,N,GENERATOR,100,FAST,,,Y,BATCH,"1998/11/02 12:11:55","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SHGEN,2,NSHL,330,240,N,GENERATOR,240,FAST,,,Y,BATCH,"1998/11/02 12:11:55","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SHPUMP,2,NSHP1,330,240,N,LOAD,240,FAST,N,,Y,BATCH,"1998/11/02 12:11:56","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",WG01,2,NWGB,275,50,Y,GENERATOR,50,"NOT DISPATCHED",,,Y,BATCH,"1998/11/02 12:11:56","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",DRYCGT1,2,SDCA1,66,52,Y,GENERATOR,55,FAST,,,Y,BATCH,"1998/11/02 12:11:57","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",DRYCGT2,2,SDCA2,66,52,Y,GENERATOR,55,FAST,,,Y,BATCH,"1998/11/02 12:11:57","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",DRYCGT3,2,SDCA3,66,52,Y,GENERATOR,55,FAST,,,Y,BATCH,"1998/11/02 12:11:57","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",MINTARO,2,SMPS,275,90,Y,GENERATOR,95,FAST,,,Y,BATCH,"1998/11/02 12:11:57","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",POR01,2,SPLN1,66,25,Y,GENERATOR,25,"NOT DISPATCHED",,,Y,BATCH,"1998/11/02 12:11:57","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SNUG1,2,SSGA1,132,63,N,GENERATOR,63,FAST,,,N,BATCH,"1998/11/02 12:11:58","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",SNUG4,2,SSGA4,132,21,N,GENERATOR,21,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:58","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",BARCALDN,2,QBCG,132,39,N,GENERATOR,39,FAST,,,N,BATCH,"1998/11/02 12:11:58","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",COLNSNL1,2,QCLX,330,25,N,GENERATOR,30,"NOT DISPATCHED",,,N,BATCH,"1998/11/02 12:11:58","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",COLNSV_3,2,QCVL3,132,30,N,GENERATOR,35,SLOW,,,Y,BATCH,"1998/11/02 12:11:59","2008/12/10 09:21:25",N,N,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,3,"1998/10/25 00:00:00",COLNSV_4,2,QCVL4,132,30,N,GENERATOR,35,SLOW,,,Y,BATCH,"1998/11/02 12:11:59","2008/12/10 09:21:25",N,N,,
