DUID,STATIONID,STATIONNAME,NEM_REGION,NEM_ZONE,NODE,FUEL_TYPE,FUEL_CAT,EMISSIONS,SCHEDULE_TYPE,REG_CAP,MIN_GEN,RR_STARTUP,RR_SHUTDOWN,RR_UP,RR_DOWN,MIN_ON_TIME,MIN_OFF_TIME,SU_COST_COLD,SU_COST_WARM,SU_COST_HOT,VOM,HEAT_RATE,NL_FUEL_CONS,FC_2016-17,SRMC_2016-17
KAREEYA4,KAREEYA,KAREEYA POWER STATION,QLD1,NQ,751.0,Hydro,Hydro,0.0,SCHEDULED,21.0,5.25,300.0,120.0,300.0,120.0,1.0,1.0,105.0,42.0,63.0,7.0,0.0,0.0,0.0,7.0
KAREEYA2,KAREEYA,KAREEYA POWER STATION,QLD1,NQ,751.0,Hydro,Hydro,0.0,SCHEDULED,21.0,5.25,300.0,120.0,300.0,120.0,1.0,1.0,105.0,42.0,63.0,7.0,0.0,0.0,0.0,7.0
KAREEYA1,KAREEYA,KAREEYA POWER STATION,QLD1,NQ,751.0,Hydro,Hydro,0.0,SCHEDULED,21.0,5.25,300.0,120.0,300.0,120.0,1.0,1.0,105.0,42.0,63.0,7.0,0.0,0.0,0.0,7.0
KAREEYA3,KAREEYA,KAREEYA POWER STATION,QLD1,NQ,751.0,Hydro,Hydro,0.0,SCHEDULED,21.0,5.25,300.0,120.0,300.0,120.0,1.0,1.0,105.0,42.0,63.0,7.0,0.0,0.0,0.0,7.0
OAKEY1,OAKEY,OAKEY POWER STATION,QLD1,SWQ,366.0,Natural Gas (Pipeline),Fossil,0.8537299999999999,SCHEDULED,141.0,0.0,660.0,660.0,660.0,660.0,1.0,1.0,14100.0,14100.0,14100.0,10.4,11.04294479,0.3,6.6942,84.323681013218
OAKEY2,OAKEY,OAKEY POWER STATION,QLD1,SWQ,366.0,Natural Gas (Pipeline),Fossil,0.8537299999999999,SCHEDULED,141.0,0.0,660.0,660.0,660.0,660.0,1.0,1.0,14100.0,14100.0,14100.0,10.4,11.04294479,0.3,6.6942,84.323681013218
VPGS3,VPGS,Valley Power Peaking Facility,VIC1,LV,775.0,Natural Gas (Pipeline),Fossil,0.88032961,SCHEDULED,50.0,0.0,3360.0,600.0,3600.0,600.0,1.0,1.0,5000.0,5000.0,5000.0,10.4,15.0,0.3,6.213779014,103.60668521000001
VPGS4,VPGS,Valley Power Peaking Facility,VIC1,LV,775.0,Natural Gas (Pipeline),Fossil,0.88032961,SCHEDULED,50.0,0.0,3360.0,600.0,3600.0,600.0,1.0,1.0,5000.0,5000.0,5000.0,10.4,15.0,0.3,6.213779014,103.60668521000001
VPGS2,VPGS,Valley Power Peaking Facility,VIC1,LV,775.0,Natural Gas (Pipeline),Fossil,0.88032961,SCHEDULED,50.0,0.0,3360.0,600.0,3600.0,600.0,1.0,1.0,5000.0,5000.0,5000.0,10.4,15.0,0.3,6.213779014,103.60668521000001
VPGS1,VPGS,Valley Power Peaking Facility,VIC1,LV,775.0,Natural Gas (Pipeline),Fossil,0.88032961,SCHEDULED,50.0,0.0,3360.0,600.0,3600.0,600.0,1.0,1.0,5000.0,5000.0,5000.0,10.4,15.0,0.3,6.213779014,103.60668521000001
VPGS5,VPGS,Valley Power Peaking Facility,VIC1,LV,775.0,Natural Gas (Pipeline),Fossil,0.88032961,SCHEDULED,50.0,0.0,3360.0,600.0,3600.0,600.0,1.0,1.0,5000.0,5000.0,5000.0,10.4,15.0,0.3,6.213779014,103.60668521000001
VPGS6,VPGS,Valley Power Peaking Facility,VIC1,LV,775.0,Natural Gas (Pipeline),Fossil,0.88032961,SCHEDULED,50.0,0.0,3360.0,600.0,3600.0,600.0,1.0,1.0,5000.0,5000.0,5000.0,10.4,15.0,0.3,6.213779014,103.60668521000001
OSB-AG,OSBORNE,OSBORNE POWER STATION,SA1,ADE,122.0,Natural Gas (Pipeline),Fossil,0.57192,SCHEDULED,180.0,0.0,170.0,170.0,160.0,160.0,4.0,4.0,4500.0,900.0,2700.0,7.0,8.571428571,0.3,6.629058547,63.820501828587545
OAKLAND1,OAKLAND,Oaklands Hill Wind Farm,VIC1,MEL,619.0,Wind,Wind,0.0,SEMI-SCHEDULED,67.0,0.0,620.0,600.0,630.0,620.0,1.0,1.0,335.0,134.0,201.0,0.0,3.6,0.0,0.0,0.0
NYNGAN1,NYNGAN,Nyngan Solar Plant,NSW1,NCEN,573.0,Solar,Solar,0.0,SEMI-SCHEDULED,102.0,0.0,1200.0,1200.0,1200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0
CETHANA,CETHANA,Cethana Power Station,TAS1,TAS,615.0,Hydro,Hydro,0.0,SCHEDULED,85.0,0.0,1260.0,1260.0,1790.0,1790.0,1.0,1.0,425.0,170.0,255.0,7.0,0.0,0.0,0.0,7.0
MUSSELR1,MUSSELRO,Musselroe Wind Farm,TAS1,TAS,374.0,Wind,Wind,0.0,SEMI-SCHEDULED,168.0,0.0,9740.0,9740.0,10080.0,10080.0,1.0,1.0,840.0,336.0,504.0,0.0,3.6,0.0,0.0,0.0
CG1,COLONGRA,Colongra Power Station,NSW1,NCEN,162.0,Natural Gas (Pipeline),Fossil,0.7903899999999999,SCHEDULED,181.0,0.0,720.0,720.0,720.0,720.0,1.0,1.0,18100.0,18100.0,18100.0,8.3,11.25,0.3,5.825201823,73.83352050875
CG2,COLONGRA,Colongra Power Station,NSW1,NCEN,162.0,Natural Gas (Pipeline),Fossil,0.7903899999999999,SCHEDULED,181.0,0.0,720.0,720.0,720.0,720.0,1.0,1.0,18100.0,18100.0,18100.0,8.3,11.25,0.3,5.825201823,73.83352050875
CG3,COLONGRA,Colongra Power Station,NSW1,NCEN,162.0,Natural Gas (Pipeline),Fossil,0.7903899999999999,SCHEDULED,181.0,0.0,720.0,720.0,720.0,720.0,1.0,1.0,18100.0,18100.0,18100.0,8.3,11.25,0.3,5.825201823,73.83352050875
CG4,COLONGRA,Colongra Power Station,NSW1,NCEN,162.0,Natural Gas (Pipeline),Fossil,0.7903899999999999,SCHEDULED,181.0,0.0,720.0,720.0,720.0,720.0,1.0,1.0,18100.0,18100.0,18100.0,8.3,11.25,0.3,5.825201823,73.83352050875
GUNNING1,GUNNING,Gunning Wind Farm,NSW1,CAN,415.0,Wind,Wind,0.0,SEMI-SCHEDULED,47.0,0.0,2820.0,2820.0,2820.0,2820.0,1.0,1.0,235.0,94.0,141.0,0.0,3.6,0.0,0.0,0.0
TNPS1,TARONGN,Tarong North Power Station,QLD1,SWQ,456.0,Black coal,Fossil,0.89438,SCHEDULED,443.0,175.0,270.0,270.0,320.0,320.0,8.0,8.0,155050.0,17720.0,53160.0,1.0,9.183673469,0.1,2.766,26.402040815254
NPS,NEWPORT,NEWPORT POWER STATION,VIC1,MEL,147.0,Natural Gas (Pipeline),Fossil,0.59856,SCHEDULED,500.0,0.0,340.0,340.0,420.0,420.0,1.0,1.0,10000.0,2500.0,5000.0,12.5,10.81081081,0.3,6.70209177,84.95504615672803
NBHWF1,NBHWF,North Brown Hill Wind Farm,SA1,NSA,399.0,Wind,Wind,0.0,SEMI-SCHEDULED,132.0,0.0,180.0,180.0,180.0,180.0,1.0,1.0,660.0,264.0,396.0,0.0,3.6,0.0,0.0,0.0
CLEMGPWF,CLEMGPWF,Clements Gap Wind Farm,SA1,NSA,353.0,Wind,Wind,0.0,SEMI-SCHEDULED,57.0,0.0,1790.0,1790.0,1790.0,1790.0,1.0,1.0,285.0,114.0,171.0,0.0,3.6,0.0,0.0,0.0
MURRAY,MURRAY,Murray Power Station,NSW1,CAN,209.0,Hydro,Hydro,0.0,SCHEDULED,1500.0,0.0,11440.0,2990.0,12000.0,2530.0,1.0,1.0,7500.0,3000.0,4500.0,7.0,0.0,0.0,0.0,7.0
LADBROK2,LADBROKE,Ladbroke Grove Power Station,SA1,SESA,656.0,Natural Gas (Pipeline),Fossil,0.66009,SCHEDULED,40.0,0.0,480.0,480.0,480.0,480.0,1.0,1.0,4000.0,4000.0,4000.0,10.4,12.0,0.3,6.629058547,89.948702564
LADBROK1,LADBROKE,Ladbroke Grove Power Station,SA1,SESA,656.0,Natural Gas (Pipeline),Fossil,0.66009,SCHEDULED,40.0,0.0,480.0,480.0,480.0,480.0,1.0,1.0,4000.0,4000.0,4000.0,10.4,12.0,0.3,6.629058547,89.948702564
KPP_1,KOGANCK,Kogan Creek Power Station,QLD1,SWQ,815.0,Black coal,Fossil,0.9058299999999999,SCHEDULED,744.0,347.2,240.0,300.0,210.0,210.0,8.0,8.0,260400.0,29760.0,89280.0,0.4925,9.37,0.1,1.459,14.163329999999998
WOODLWN1,WOODLWN,Woodlawn Wind Farm,NSW1,CAN,692.0,Wind,Wind,0.0,SEMI-SCHEDULED,48.0,0.0,900.0,180.0,900.0,180.0,1.0,1.0,240.0,96.0,144.0,0.0,3.6,0.0,0.0,0.0
CPP_3,CALLIDEC,CALLIDE C NETT OFF,QLD1,CQ,933.0,Black coal,Fossil,0.9613200000000001,SCHEDULED,420.0,207.4074074074074,210.0,220.0,230.0,230.0,8.0,8.0,147000.0,16800.0,50400.0,1.0,9.863013699,0.1,2.12,21.90958904188
CPP_4,CALLIDEC,CALLIDE C NETT OFF,QLD1,CQ,933.0,Black coal,Fossil,0.9613200000000001,SCHEDULED,420.0,207.4074074074074,210.0,220.0,230.0,230.0,8.0,8.0,147000.0,16800.0,50400.0,1.0,9.863013699,0.1,2.12,21.90958904188
BW01,BAYSW,Bayswater Power Station,NSW1,NCEN,244.0,Black coal,Fossil,0.9674,SCHEDULED,660.0,291.1764705882353,120.0,100.0,310.0,230.0,8.0,8.0,231000.0,26400.0,79200.0,1.0,10.02785515,0.1,1.463,15.670752084450001
BW02,BAYSW,Bayswater Power Station,NSW1,NCEN,244.0,Black coal,Fossil,0.9674,SCHEDULED,660.0,291.1764705882353,120.0,100.0,310.0,230.0,8.0,8.0,231000.0,26400.0,79200.0,1.0,10.02785515,0.1,1.463,15.670752084450001
BW03,BAYSW,Bayswater Power Station,NSW1,NCEN,244.0,Black coal,Fossil,0.9674,SCHEDULED,660.0,291.1764705882353,120.0,100.0,310.0,230.0,8.0,8.0,231000.0,26400.0,79200.0,1.0,10.02785515,0.1,1.463,15.670752084450001
BW04,BAYSW,Bayswater Power Station,NSW1,NCEN,244.0,Black coal,Fossil,0.9674,SCHEDULED,660.0,291.1764705882353,120.0,100.0,310.0,230.0,8.0,8.0,231000.0,26400.0,79200.0,1.0,10.02785515,0.1,1.463,15.670752084450001
HALLWF1,HALLWF,Hallett 1 Wind Farm,SA1,NSA,107.0,Wind,Wind,0.0,SEMI-SCHEDULED,95.0,0.0,180.0,180.0,180.0,180.0,1.0,1.0,475.0,190.0,285.0,0.0,3.6,0.0,0.0,0.0
TUMUT3,SNOWY1,Tumut 3 Power Station,NSW1,CAN,667.0,Hydro,Hydro,0.0,SCHEDULED,1500.0,0.0,12000.0,2890.0,12000.0,2120.0,1.0,1.0,7500.0,3000.0,4500.0,7.0,0.0,0.0,0.0,7.0
